play_id,image_id
26,8281
26,8282
26,8283
26,8284
26,8285
26,8286
26,8287
26,8288
26,8289
26,8290
26,8291
26,8292
26,8293
26,8294
26,8295
26,8296
26,8297
26,8298
26,8299
26,8300
26,8301
26,8302
26,8303
26,8304
26,8305
26,8306
26,8307
26,8308
26,8309
26,8310
26,8311
26,8312
26,8313
26,8314
26,8315
26,8316
26,8317
26,8318
26,8319
26,8320
26,8321
26,8322
26,8323
26,8324
26,8325
26,8326
26,8327
26,8328
26,8329
26,8330
26,8331
26,8332
26,8333
26,8334
26,8335
26,8336
26,8337
26,8338
26,8339
26,8340
26,8341
26,8342
26,8343
26,8344
26,8345
26,8346
26,8347
26,8348
26,8349
26,8350
26,8351
26,8352
26,8353
26,8354
26,8355
26,8356
26,8357
26,8358
26,8359
26,8360
26,8361
26,8362
26,8363
26,8364
26,8365
26,8366
26,8367
26,8368
26,8369
26,8370
26,8371
26,8372
26,8373
26,8374
26,8375
26,8376
26,8377
26,8378
26,8379
26,8380
26,8381
26,8382
26,8383
26,8384
26,8385
26,8386
26,8387
26,8388
26,8389
26,8390
26,8391
26,8392
26,8393
26,8394
26,8395
26,8396
26,8397
26,8398
26,8399
26,8400
26,8401
26,8402
26,8403
26,8404
26,8405
26,8406
26,8407
26,8408
26,8409
26,8410
26,8411
26,8412
26,8413
26,8414
26,8415
26,8416
26,8417
26,8418
26,8419
26,8420
26,8421
26,8422
26,8423
26,8424
26,8425
26,8426
26,8427
26,8428
26,8429
26,8430
26,8431
26,8432
26,8433
26,8434
26,8435
26,8436
26,8437
26,8438
26,8439
26,8440
26,8441
26,8442
26,8443
26,8444
26,8445
26,8446
26,8447
26,8448
26,8449
26,8450
26,8451
26,8452
26,8453
26,8454
26,8455
26,8456
26,8457
26,8458
26,8459
26,8460
26,8461
26,8462
26,8463
26,8464
26,8465
26,8466
26,8467
26,8468
26,8469
26,8470
26,8471
26,8472
26,8473
26,8474
26,8475
26,8476
26,8477
26,8478
26,8479
26,8480
26,8481
26,8482
26,8483
26,8484
26,8485
26,8486
26,8487
26,8488
26,8489
26,8490
26,8491
26,8492
26,8493
26,8494
26,8495
26,8496
26,8497
26,8498
26,8499
26,8500
26,8501
26,8502
26,8503
26,8504
26,8505
26,8506
26,8507
26,8508
26,8509
26,8510
26,8511
26,8512
26,8513
26,8514
26,8515
26,8516
26,8517
26,8518
26,8519
26,8520
26,8521
26,8522
26,8523
26,8524
26,8525
26,8526
26,8527
26,8528
26,8529
26,8530
26,8531
26,8532
26,8533
26,8534
26,8535
26,8536
26,8537
26,8538
26,8539
26,8540
26,8541
26,8542
26,8543
26,8544
26,8545
26,8546
26,8547
26,8548
26,8549
26,8550
26,8551
26,8552
26,8553
26,8554
26,8555
26,8556
26,8557
26,8558
26,8559
26,8560
26,8561
26,8562
26,8563
26,8564
26,8565
26,8566
26,8567
26,8568
26,8569
26,8570
26,8571
26,8572
26,8573
26,8574
26,8575
26,8576
26,8577
26,8578
26,8579
26,8580
26,8581
26,8582
26,8583
26,8584
26,8585
26,8586
26,8587
26,8588
26,8589
26,8590
26,8591
26,8592
26,8593
26,8594
26,8595
26,8596
26,8597
26,8598
26,8599
26,8600
26,8601
26,8602
26,8603
26,8604
26,8605
26,8606
26,8607
26,8608
26,8609
26,8610
26,8611
26,8612
26,8613
26,8614
26,8615
26,8616
26,8617
26,8618
26,8619
26,8620
26,8621
26,8622
26,8623
26,8624
26,8625
26,8626
26,8627
26,8628
26,8629
26,8630
26,8631
26,8632
26,8633
26,8634
26,8635
26,8636
26,8637
26,8638
26,8639
26,8640
26,8641
26,8642
26,8643
26,8644
26,8645
26,8646
26,8647
