,authority_control,character_code,character_id,image_id,label_eng,label_ja,label_ka,play_id,sort_ja
0,August 1989 Program,Akai-01,1,[56170],Farmer,Oyaji,おやじ,[162],おやじ
1,August 1989 Program,Akai-02,2,[nan],Farmer's wife,Nyōbō,女房,[162],にょうぼう
2,August 1989 Program,Akai-03,3,[nan],"Magotaro, a horse","Magotarō, Uma",孫太郎（馬）,[162],まごたろう（うま）
3,August 1989 Program,Akai-04,4,[nan],Local governor,Odaikan,お代官,[162],おだいかん
4,August 1989 Program,Akai-05,5,[nan],Local governor's assistant,Odaikan no kobun,お代官のこぶん,[162],おだいかんのこぶん
5,August 1989 Program,Akai-06,6,[nan],Village headman,Shōyasama,庄屋さま,[162],しょうやさま
6,August 1989 Program,Akai-07,7,[nan],Local governor's wife,Okugata,奥方,[162],おくがた
7,January 1996 Program,Akegarasu-01,8,[nan],Urazato,Jorō Urazato,女郎浦里,[14],うらざと
8,January 1996 Program,Akegarasu-02,9,[nan],Midori,Kamuro Midori,禿みどり,[14],みどり
9,January 1996 Program,Akegarasu-03,10,[nan],Tokijiro Kasuga,Kasuga Tokijirō,春日時次郎,[14],かすがときじろう
10,January 1996 Program,Akegarasu-04,11,[nan],Otatsu,Kamiyui Otatsu,髪結おたつ,[14],おたつ
11,January 1996 Program,Akegarasu-05,12,[nan],Okaya,Yarite Okaya,遣り手おかや,[14],おかや
12,January 1996 Program,Akegarasu-06,13,[nan],Kambei,Teishu Kanbei,亭主勘兵衛,[14],かんべい
13,January 1996 Program,Akegarasu-07,14,[nan],Hikoroku,Tedai Hikoroku,手代彦六,[14],ひころく
14,January 1989 Program,Asama-01,15,[nan],"Chuzaemon, Chief retainer",Rōkarō Chūzaemon,老家老忠左衛門,[160],ちゅうざえもん
15,January 1989 Program,Asama-02,16,[nan],"Kunimochi, Feudal lord",Daimyō Kunimochi,大名国持,[160],くにもち
16,January 1989 Program,Asama-03,17,[nan],"Hanasode, a courtesan",Hanasodedayū,花袖太夫,[160],はなそでだゆう
17,January 1989 Program,Asama-04,18,[nan],Courtesan,Yūjo,遊女,[160],ゆうじょ
18,January 1989 Program,Asama-08,19,[nan],Ukon,Kinju Ukon,近習右近,[160],うこん
19,January 1989 Program,Asama-09,20,[nan],Sakyo,Kinju Sakyō,近習左京,[160],さきょう
20,January 1989 Program,Asama-10,21,[nan],Madam,Okami,女将,[160],おかみ
21,August 1984 Program,Ashiya-01,22,[52077],Crown Prince Sakuragi,Sakuragi Shinnō,桜木親王,[15],さくらぎしんのう
22,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-02,23,[nan],Motokata,Sadaishō Motokata,左大将元方,[15],もとかた
23,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-03,24,[52077],Yoshifuru,Ono Yoshifuru,小野好古,[15],おののよしふる
24,August 1984 Program,Ashiya-04,25,"[12394, 12395, 12396, 12397, 52078, 52079, 52080, 61796, 61892]",Sakaki,Sakakino mae,榊の前,[15],さかきのまえ
25,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-05,26,[52079],Jibu,Iwakura Jibudayū,岩倉治部大輔,[15],いわくらじぶだゆう
26,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-06,27,[nan],Taro,Sakon Tarō,左近太郎,[15],さこんたろう
27,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-07,28,"[12389, 12394, 12395, 12396, 12397, 12398, 52078, 52079, 52080, 61796, 61892]",Yasunori Kamo's widow,Kamono kōshitsu,加茂の後室,[15],かものこうしつ
28,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-08,29,[12400],Heima,Inui Heima,乾平馬,[15],いぬいへいま
29,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-09,30,"[12390, 12391, 12392, 12394, 12395, 12396, 12397, 12399, 12400, 12401, 12402, 12403, 12404, 12406, 12407, 12410, 12411, 12412, 12413, 12431, 12432, 12433, 12434, 45557, 48133, 52080, 52083, 52084, 52086, 52087, 52088, 52092, 52094, 52095, 52102, 52104, 52105, 52320, 54089, 54090, 54091, 54105, 54108, 54109, 54110, 54111, 54112, 61221, 61796, 61892, 61894]",Yasuna,Abeno Yasuna,安倍保名,[15],あべやすな
30,August 1984 Program,Ashiya-10,31,"[12390, 12391, 12392, 12458, 12459, 12460, 12461, 12467, 12470, 12471, 45559, 48136, 52013, 52014, 52015, 52016, 52021, 52022, 52023, 52024, 52025, 52026, 52027, 52028, 52029, 52030, 52082, 52084, 52320, 54116, 54117, 54119, 54120, 54121]",Yokambei,Yakko Yokanbei,奴与勘平,[15],よかんべい
31,August 1984 Program,Ashiya-11,32,"[12405, 12406, 12407, 12409, 12429, 12432, 12433, 12434, 12458, 12467, 12470, 12471, 45557, 45559, 48128, 48133, 48134, 52014, 52015, 52016, 52017, 52018, 52019, 52020, 52085, 52092, 52102, 54087, 54088, 54089, 54108, 54112, 54117, 54118, 54120]",Kuzunoha,Kuzunoha Hime,葛の葉姫,[15],くずのはひめ
32,August 1984 Program,Ashiya-12,33,"[12453, 12454, 48134, 52013, 52015, 52016, 52635, 54113, 54114, 54115]",Akuemon,Ishikawa Akuemon,石川悪右衛門,[15],いしかわあくえもん
33,August 1984 Program,Ashiya-13,34,"[12410, 12411, 12412, 12413, 12414, 12415, 12416, 12417, 12418, 12419, 12420, 12421, 12422, 12423, 12424, 12425, 12426, 12427, 12428, 12429, 12430, 12435, 12436, 12437, 12438, 12439, 12440, 12441, 12442, 12443, 12444, 12445, 12446, 12447, 12448, 12449, 12450, 12451, 12452, 45557, 48129, 48130, 48131, 48132, 52004, 52005, 52006, 52008, 52009, 52010, 52011, 52012, 52089, 52090, 52091, 52321, 52323, 54085, 54086, 54090, 54091, 54092, 54093, 54094, 54095, 54096, 54097, 54098, 54099, 54100, 54101, 54102, 54103, 54104, 54105, 54106, 54107, 61175]",Fox-Kuzunoha,Nyōbō Kuzunoha,女房葛の葉,[15],くずのは
34,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-14,35,"[12417, 12418, 12419, 12420, 12470, 12471, 45557, 48133, 48134, 52014, 52015, 52017, 52019, 52089, 52090, 52092, 52102, 52104, 52105, 54085, 54086, 54105, 54108, 54111, 54112, 54117, 54118, 54119, 54120, 54121, 61221, 61894]",Yasuna's son,Abeno Dōji,安倍童子,[15],あべのどうじ
35,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-15,36,"[52093, 54109]",Dampachi,Momengai jitsuwa Egara Danpachi,木綿買実は荏柄段八,[15],もめんがいじつはえがらだんぱち
36,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-16,37,"[12409, 12429, 45557, 45559, 48128, 48133, 52085, 52092, 52102, 54087, 54089, 54105, 54108, 54110]",Shoji,Shinodano Shōji,信田庄司,[15],しのだのしょうじ
37,August 1984 Program,Ashiya-17,38,"[12408, 12429, 45557, 45559, 48128, 48133, 54087, 54088, 54111, 54112]",Shoji's wife,Shōji no tsuma,庄司の妻,[15],しょうじのつま
38,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-18,39,"[52093, 52094, 54109]",Unzo,Shigaraki Unzō,信楽雲蔵,[15],しがらきうんぞう
39,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-19,40,"[52017, 52018, 52019]",Toji,Ochiai Tōji,落合藤治,[15],おちあいとうじ
40,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-20,41,"[12455, 12456, 12457, 12462, 12463, 12464, 12465, 12466, 12467, 12468, 12469, 12470, 12471, 45559, 48136, 52021, 52022, 52023, 52024, 52025, 52026, 52027, 52028, 52029, 52030, 54116, 54118, 54120, 54121, 61661]",Yakambei,Yakko Yakanbei,奴野干平,[15],やかんべい
41,August 1984 Program,Bakekurabe-01,42,"[51646, 51647, 51649, 51650, 51651, 51657, 51658, 51659, 51660, 51661, 51662, 52325, 59429, 59430, 59431, 59432, 59433, 59434, 59438, 59449, 59828, 59833, 59839, 59840, 59851, 59853, 59859, 59870, 61201, 64545, 64575, 64576]",Tanuki,Tanuki,狸,[126],たぬき
42,August 1984 Program,Bakekurabe-02,43,"[46072, 46074, 49333, 49334, 49335, 49336, 49337, 49338, 51648, 51649, 51650, 52325, 59421, 59828, 59852, 59860, 59861, 59862, 59864, 59865, 59869, 64544, 64575]",Kawataro,Kawatarō,川太郎,[126],かわたろう
43,August 1984 Program,Bakekurabe-03,44,"[46076, 49339, 51652, 51653, 51654, 51655, 51656, 51658, 51659, 51660, 51661, 51662, 59829, 59830, 59831, 59832, 59834, 59835, 59836, 59837, 59838, 59839, 59840, 59841, 59842, 59843, 59844, 59845, 59846, 59847, 59848, 59849, 59850, 59854, 59855, 59856]",Rokurohime,Rokuro Hime,ろくろ姫,[126],ろくろひめ
44,August 1984 Program,Bakekurabe-04,45,"[46070, 49327, 49328, 49329, 49330, 49331, 49332, 59429, 59434, 59866, 59867, 59868]",Aosaginoshin,Aosaginoshin,青鷺之進,[126],あおさぎのしん
45,August 1984 Program,Bakekurabe-05,46,"[52325, 59852, 59860, 59861, 59862, 62159, 64576]",Yukionna,Yuki onna,雪女,[126],ゆきおんな
46,August 1984 Program,Bakekurabe-06,47,"[46076, 49340, 49341, 59857, 59858]",Kawauso,Kawauso,かわうそ,[126],かわうそ
47,August 1984 Program,Bakekurabe-07,48,[nan],Kamaitachi,Kamaitachi,かまいたち,[126],かまいたち
48,August 1984 Program,Bakekurabe-08,49,[59863],Kamaitachi's retainer,Itachi no kerai,いたちの家来,[126],いたちのけらい
49,English translation not available,Botan-01,50,[nan],[Kyosei,Kyōsei,喬生,[112],きょうせい
50,English translation not available,Botan-02,51,[nan],"Old man, a neighbor",Tonari no jii,隣ノ爺,[112],となりのじい
51,English translation not available,Botan-03,52,[nan],"Old Woman, a neighbor",Tonari no baba,隣ノ婆,[112],となりのばば
52,English translation not available,Botan-05,54,[nan],Neighbor,Kinjo no hito,近所の人,[112],きんじょのひと
53,English translation not available,Botan-06,55,[nan],[Kinren,Kinren,金連,[112],きんれん
54,English translation not available,Botan-07,56,[nan],Reikei,Reikei,麗卿,[112],れいきょう
55,English translation not available,Botan-08,57,[nan],Reikei doll,Reikei waraningyō,麗卿藁人形,[112],れいきょうわらにんぎょう
56,English translation not available,Botan-09,58,[nan],[Kinren doll,Kinren waraningyō,金連藁人形,[112],きんれんわらにんぎょう
57,; English translation not available,Botan-10,59,[nan],Suikan,Suikan,酔漢,[112],すいかん
58,English translation not available,Botan-11,60,[nan],Priest at Koshinji,Koshinji no sō,湖心寺の僧,[112],こしんじのそう
59,July 1989 Program,Chikagoro-01,61,"[12287, 12288, 12291, 12292, 12293, 12294, 12301, 12302, 12304, 12312, 12313, 45522, 45524, 48361, 48363, 48366, 48367, 48369, 48370, 48373, 51795, 51796, 51799, 51800, 51801, 51802, 51803, 51804, 51805, 51806, 51807, 51898, 51899, 51900, 51901, 51902, 51903, 51904, 51905, 52378, 57457, 57462, 57463, 57464, 57465, 57466, 57467, 57468, 57471, 57472, 57473, 57474, 57475, 57476, 57477, 57478, 57479, 57480, 57481, 57482, 61790, 62147]",Yojiro,Sarumawashi Yojirō,猿廻し与次郎,[6],よじろう
60,July 1989 Program,Chikagoro-02,62,"[12288, 12289, 12290, 12295, 12296, 12299, 12300, 12301, 12302, 12305, 12306, 12308, 12309, 12318, 12338, 12339, 12340, 12341, 12346, 12347, 12348, 45522, 45524, 48363, 48366, 48367, 48368, 48370, 48373, 51795, 51796, 51797, 51798, 51801, 51809, 51810, 51811, 51812, 51813, 51814, 51815, 51816, 51817, 51818, 51819, 51820, 51821, 51823, 51824, 51825, 51899, 51900, 51904, 51905, 57458, 57459, 57460, 57461, 57462, 57463, 57464, 57465, 57466, 57469, 57470, 57471, 57472, 57473, 57475, 57476, 57477, 62147]",Oshun,Musume Oshun,娘おしゅん,[6],おしゅん
61,July 1989 Program; Bunka dejitaru raiburarii,Chikagoro-03,63,"[12297, 12298, 12299, 12300, 12303, 12304, 12307, 12309, 12314, 12315, 12316, 12317, 12318, 12337, 12341, 12342, 12343, 12344, 12345, 12347, 45524, 48368, 48370, 48373, 51795, 51796, 51797, 51808, 51809, 51810, 51811, 51812, 51813, 51814, 51815, 51816, 51817, 51818, 51819, 51820, 51821, 51822, 51823, 57458, 57459, 57460, 57461, 57462, 57463, 57464, 57465, 57466, 57475]",Dembei,Izutsuya Denbei,井筒屋伝兵衛,[6],いづつやでんべい
62,July 1989 Program; Bunka dejitaru raiburarii,Chikagoro-04,64,[nan],Kanzaemon,Yokobuchi Kanzaemon,横淵官左衛門,[6],よこぶちかんざえもん
63,July 1989 Program,Chikagoro-05,65,"[12286, 12287, 45522, 48353, 51894, 51895, 51896, 51900, 57449, 57450, 57452, 57453, 57454, 57455, 57456, 57457, 57459, 57460, 57461, 57462, 57463, 57464, 57471, 57472, 57473, 57474, 57475, 57476, 61789, 62147]",Yojiro's mother,Yojirō no haha,与次郎の母,[6],よじろうのはは
64,July 1989 Program,Chikagoro-06,66,[nan],Kyuhachi,Mawashi no Kyūhachi,廻しの久八,[6],まわしのきゅうはち
65,July 1989 Program; Bunka dejitaru raiburarii,Chikagoro-07,67,"[12285, 45522, 48353, 51894, 51895, 51897, 57449, 57450, 57452, 57453, 57454, 57455]",Otsuru,Keikomusume Otsuru,稽古娘おつる,[6],おつる
66,July 1989 Program; Bunka dejitaru raiburarii,Chikagoro-08,68,[nan],Kanzo,Nakagai Kanzō,仲買勘蔵,[6],なかがいかんぞう
67,November 1971 Program,Chinsetsu-01,69,[nan],Tametomo,Chinzei Hachirō Tametomo,鎮西八郎為朝,[99],ちんぜいはちろうためとも
68,November 1971 Program,Chinsetsu-02,70,[nan],Kiheiji,Hacchō Tsubuteno Kiheijidayū,八町礫紀平治太夫,[99],はっちょうつぶてのきへいじだゆう
69,November 1971 Program,Chinsetsu-03,71,[nan],Takama,Takamono Tarō Motoakira,高間太郎原鑑,[99],たかまのたろうもとあきら
70,November 1971 Program,Chinsetsu-04,72,[nan],Sasarae,Sasarae,簓江,[99],ささらえ
71,November 1971 Program,Chinsetsu-05,73,[nan],Isohagi,Isohagi,磯萩,[99],いそはぎ
72,November 1971 Program,Chinsetsu-06,74,[nan],Tameyori,Tameyori,為頼,[99],ためより
73,November 1971 Program,Chinsetsu-07,75,[nan],Shimagimi,Shimagimi,島君,[99],しまぎみ
74,November 1971 Program,Chinsetsu-08,76,[nan],Spy,Shinobi,忍び,[99],しのび
75,November 1971 Program,Chinsetsu-09,77,[nan],Mutoda,Mutōda,武藤太,[99],むとうだ
76,November 1971 Program,Chinsetsu-10,78,[nan],Ghost of retired Emperor Sutoku,Sutoku Jōkō no rei,崇徳上皇の霊,[99],すとくじょうこうのれい
77,November 1971 Program,Chinsetsu-11,79,[nan],Ghost of Yorinaga,Sadaijin Yorinaga no rei,左大臣頼長の霊,[99],さだいじんよりながのれい
78,November 1971 Program; Bunka dejitaru raiburarii,Chinsetsu-12,80,[nan],Ghost of Tameyoshi,Rokujō Hangan Tameyoshi no rei,六条判官為義の霊,[99],ろくじょうはんがんためよしのれい
79,November 1971 Program; Bunka dejitaru raiburarii,Chinsetsu-13,81,[nan],Crow,Karasu Tengu,烏天狗,[99],からすてんぎ
80,November 1971 Program,Chinsetsu-17,82,[nan],Shiranui,Shiranui Hime,白縫姫,[99],しらぬいひめ
81,November 1971 Program,Chinsetsu-18,83,[nan],"Chigusa, a maid",Koshimoto Chigusa,腰元千種,[99],ちぐさ
82,November 1971 Program,Chinsetsu-19,84,[nan],"Yamahagi, a maid",Koshimoto Yamahagi,腰元山萩,[99],やまはぎ
83,"November 1971 Program; Daijirin (Tokyo: Sanseido, 1995)",Chinsetsu-20,85,[nan],"Takihei, a servant",Rōdō Takihei,郎党滝平,[99],たきへい
84,November 1971 Program; Bunka dejitaru raiburarii,Chinsetsu-21,86,[nan],"Sutemaru (Shunten, later known as Sutemaru)",Sutemaru nochini Shuntenō,舜天丸後に舜天王,[99],すてまるのちにしゅんてんおう
85,November 1971 Program; Bunka dejitaru raiburarii,Chinsetsu-22,87,[nan],Riyu,Shikinkan Riyū,紫巾官利勇,[99],しきんかんりゆう
86,November 1971 Program,Chinsetsu-23,88,[nan],Wanzu,Wanzu,王子,[99],わんず
87,November 1971 Program,Chinsetsu-24,89,[nan],Neiwannyo,Neiwannyo,寧王女,[99],ねいわんにょ
88,"November 1971 Program; Daijirin (Tokyo: Sanseido, 1995)",Chinsetsu-25,90,[nan],Kumagimi,Miko Kumagimi,巫女阿公,[99],くまぎみ
89,November 1971 Program,Chinsetsu-26,91,[51752],Tsuru,Tsuru,鶴,[99],つる
90,November 1971 Program,Chinsetsu-27,92,[nan],Kame,Kame,亀,[99],かめ
91,April 1974 Program,Cho-01,93,[nan],Komaki,Komaki,小巻,[115],こまき
92,April 1974 Program,Cho-02,94,[nan],Sukekuni,Sukekuni,助国,[115],すけくに
93,February 1983 Program,Daikyoji-01,95,"[11078, 11080, 11081, 11082, 11083, 11084, 11086, 11088, 11089, 11090, 11091, 11092, 11094, 11097, 11099, 11100, 11101, 46409, 46411, 46413, 46415, 46417, 46419, 46421, 46423, 46425, 46427, 50725, 50726, 50727, 50732, 50733, 50734, 50740, 50741, 50743, 50744, 50746, 50747, 50748, 50749, 50750, 50751, 50752, 50753, 50758, 50759, 50760, 50761, 50762, 50763, 50765, 52295, 52296, 52299, 52300]",Osan,Nyōbō Osan,女房おさん,[76],おさん
94,February 1983 Program,Daikyoji-02,96,"[11093, 46411, 50728, 50729, 50730]",Ishun,Daikyōji Ishun,大経師以春,[76],だいきょうじいしゅん
95,February 1983 Program,Daikyoji-03,97,"[46417, 50737, 50738]",Sukeyemon,Tedai Sukeemon,手代助右衛門,[76],すけえもん
96,February 1983 Program,Daikyoji-04,98,"[11080, 11092, 11093, 11096, 11102, 46409, 46411, 46415, 50725, 50726, 50728, 50729, 50730, 50733, 50734, 50735, 50736]",Tama,Gejo Tama,下女玉,[76],たま
97,February 1983 Program,Daikyoji-05,99,"[11081, 11082, 11083, 11085, 46421, 46423, 50748, 50749, 50750, 50751, 50752]",Osan's mother,Osan haha,おさん母,[76],おさんはは
98,February 1983 Program,Daikyoji-06,100,"[11078, 11084, 11086, 11089, 11090, 11091, 11094, 11095, 11098, 11099, 11100, 11101, 46413, 46417, 46419, 46423, 46427, 50731, 50739, 50742, 50745, 50746, 50747, 50756, 50762, 50763, 50765, 52295, 52296, 52299, 52300]",Mohei,Tedai Mohei,手代茂兵衛,[76],もへい
99,February 1983 Program,Daikyoji-07,101,[nan],"Shichisuke, a servant",Genan Shichisuke,下男七介,[76],しちすけ
100,February 1983 Program,Daikyoji-08,102,[nan],"Denkichi, a servant",Genan Denkichi,下男伝吉,[76],でんきち
101,February 1983 Program; Bunka dejitaru raiburarii,Daikyoji-09,103,"[11078, 11079, 11102, 46417, 50738]",Bairyu,Akamatsu Bairyū,赤松梅龍,[76],あかまつばいりゅう
102,February 1983 Program; Bunka dejitaru raiburarii,Daikyoji-10,104,"[46423, 50754, 50755]",Dojun,Gifuya Dōjun,岐阜屋道順,[76],ぎふやろうじゅん
103,February 1983 Program; Bunka dejitaru raiburarii,Daikyoji-11,105,"[11087, 46423, 46425, 50757, 50760]",Street entertainer,Manzai,万歳,[76],まんざい
104,February 1983 Program; Bunka dejitaru raiburarii,Daikyoji-12,106,"[11078, 46427, 50764]",Government official,Yakunin,役人,[76],やくにん
105,July 1985 Program,Danbatake-01,107,[nan],Farmer,Hyakushō,百姓,[145],ひゃくしょう
106,July 1985 Program,Danbatake-02,108,[nan],Pumpkin,Kabocha,かぼちゃ,[145],かぼちゃ
107,July 1985 Program; Bunka dejitaru raiburarii,Danbatake-03,109,[nan],Bottle gourd,Yūgao,夕顔,[145],ゆうがお
108,September 1980 Program,Dangouri-01,110,"[10371, 10372, 10373, 10377, 46220, 49995, 49996, 49997, 49998, 52288]",Kinezo,Dangouri Kinezō,団子売杵造,"[138, 74]",きねぞう
109,September 1980 Program,Dangouri-02,111,"[10371, 10374, 10375, 10376, 46220, 46221, 49996, 49997, 49999, 50000, 50001, 50002, 50003, 50004, 52288, 57494, 57495, 57496]",Ousu,Dangouri Ousu,団子売お臼,"[138, 74]",おうす
110,"April 1985 Program; Daijirin (Tokyo: Sanseido, 1995)",Dannoura-01,112,"[9622, 9623, 9624, 9625, 9626, 9627, 9629, 9630, 9631, 9632, 9634, 9636, 9638, 9640, 9641, 9642, 9644, 9645, 9649, 9650, 9651, 9652, 9654, 9656, 9658, 9660, 9661, 9663, 9664, 9666, 9668, 9672, 9673, 45973, 45976, 46192, 46193, 49134, 49135, 49136, 49137, 49138, 49139, 49140, 49141, 49142, 49143, 49144, 49854, 49855, 49857, 49859, 52146, 52337, 57503, 57504, 57505, 57506, 57507, 57508, 57509, 57510, 57511, 57512, 57513, 57514, 57516, 57517, 57518, 57519, 57520, 57521, 57524, 57525, 57526, 57527, 57528, 57529, 57530, 57531, 57533, 57534, 57535, 57536, 57537, 57538, 57539, 57540, 57541, 57542, 57543, 57544, 57545, 57546, 57547, 57548, 57549, 57550, 57551, 57552, ...]",Akoya,Yūkun Akoya,遊君阿古屋,[83],あこや
111,April 1985 Program; Bunka dejitaru raiburarii,Dannoura-02,113,"[9620, 9623, 9625, 9626, 9629, 9630, 9631, 9632, 9634, 9636, 9638, 9640, 9641, 9642, 9644, 9645, 9648, 9649, 9650, 9651, 9652, 9654, 9656, 9658, 9660, 9661, 9663, 9664, 9666, 9668, 9672, 9673, 45976, 46193, 49141, 49855, 49857, 52337, 57499, 57501, 57502, 57524, 57526, 57527, 57529, 57530, 57534, 57535, 57540, 57541, 57542, 57543, 57545, 57546, 57547, 57548, 57549, 57550, 57553, 57554, 57560, 57561, 57835, 57836, 57902, 57903, 57916]",Shigetada,Chichibuno Shōji Shigetada,秩父庄司重忠,[83],ちちぶのしょうじしげただ
112,April 1985 Program; Bunka dejitaru raiburarii,Dannoura-03,114,"[9623, 9641, 9648, 52337, 57499, 57500, 57515, 57519, 57520, 57521, 57527, 57536, 57537, 57556, 57558, 57561, 57901, 57903, 57916]",Iwanaga,Iwanaga Saemon,岩永左衛門,[83],いわながさえもん
113,April 1985 Program; Bunka dejitaru raiburarii,Dannoura-04,115,"[9622, 9623, 9624, 9641, 9646, 9647, 46192, 49854, 57897, 57914, 57915, 57917]",Hanzawa,Hanzawa Rokurō,榛沢六郎,[83],はんざわろくろう
114,Nikkoku Online,Dannoura-05,116,"[9625, 9626, 9630, 9641, 9651, 49595, 57522, 57523, 57552, 57557, 57897, 57900, 57902, 57903, 57904, 57911, 57912, 57916, 57917]",Servant,Mizuyakko,水奴,[83],みずやっこ
115,"January 1986 Program; Bunka dejitaru raiburarii; Daijirin (Tokyo: Sanseido, 1995)",Datemusume-01,117,[nan],Kichisaburo,Koshō Kichisaburō,小姓吉三郎,[109],きちさぶろう
116,January 1986 Program,Datemusume-02,118,"[52686, 52688]",Osugi,Gejo Osugi,下女お杉,[109],おすぎ
117,January 1986 Program,Datemusume-03,119,"[48335, 48336, 52886, 52887, 52888, 52889, 52890, 52891, 52892, 62138, 62139, 62140, 62141, 62142, 62143, 62144]",Oshichi,Musume Oshichi,娘お七,[109],おしち
118,January 1986 Program; Bunka dejitaru raiburarii,Datemusume-04,120,[nan],Kyubei,Oya Kyūbei,親久兵衛,[109],きゅうべい
119,January 1986 Program,Datemusume-05,121,[nan],Kyubei's wife,Kyūbei nyōbō,久兵衛女房,[109],きゅうべいにょうぼ
120,January 1986 Program,Datemusume-06,122,"[52687, 52688, 52689, 62145]",Yasaku,Decchi Yasaku,丁稚弥作,[109],やさく
121,January 1986 Program; December 1977 Program; Bunka dejitaru raiburarii,Datemusume-07,123,"[52688, 52689, 62145]",Buhei,Buhei,武兵衛 (釜屋武兵衛 ),[109],ぶへい（かまやぶへい）
122,January 1986 Program,Datemusume-08,124,[nan],Tazaemon,Tazaemon,太左衛門,[109],たざえもん
123,April 1974 National Theatre Program,Ehon-01,127,[52341],Harunaga,Oda Harunaga,尾田春長,[16],おだはるなが
124,April 1974 National Theatre Program,Ehon-02,128,"[12012, 12033, 12068, 12073, 45563, 51643, 51644, 59672, 59704, 59705, 59785, 59786, 59787, 59795]",Hisayoshi,"Mashiba Hisayoshi (Ryosō, actually Hisayoshi)",真柴久吉(旅僧実は),[16],ましばひさよし（りょそう）
125,April 1974 National Theatre Program,Ehon-03,129,"[11968, 11969, 11970, 11971, 11973, 11974, 11975, 11977, 11978, 11979, 11980, 11981, 11987, 11988, 11989, 11990, 11991, 11992, 11996, 12001, 12002, 12003, 12004, 12005, 12009, 12010, 12011, 12028, 12029, 12030, 12032, 12033, 12047, 12054, 12055, 12056, 12057, 12058, 12059, 12060, 12061, 12062, 12063, 12064, 12065, 12066, 12067, 46062, 46064, 46066, 49315, 49320, 49321, 49322, 49323, 49324, 49325, 51590, 51591, 51592, 51593, 51594, 51595, 51599, 51601, 51602, 51603, 51604, 51606, 51607, 51608, 51609, 51610, 51611, 51612, 51614, 51615, 51616, 51617, 51618, 51619, 51620, 51622, 51623, 51624, 51625, 51626, 51627, 51628, 51629, 51630, 51631, 51633, 51634, 51635, 51636, 52269, 52341, 52342, 52343, ...]",Mitsuhide,Takechi Mitsuhide,武智光秀,[16],たけちみつひで
126,April 1974 National Theatre Program; Bunka dejitaru raiburarii,Ehon-04,130,[nan],Priest Abe,Abe Hōin,安倍法印,[16],あべほういん
127,April 1974 National Theatre Program; Bunka dejitaru raiburarii,Ehon-05,131,[nan],Priest Futen,Futenbō,普天坊,[16],ふてんぼう
128,April 1993 Program; Bunka dejitaru raiburarii,Ehon-06,132,[nan],Naniwa-Chunagon Kanefuyu,Naniwa Chūnagon,浪花中納言,[16],なにわちゅうなごん
129,April 1974 National Theatre Program; Bunka dejitaru raiburarii,Ehon-09,133,[52341],Rammaru,Morino Ranmaru,森の蘭丸,[16],もりのらんまる
130,April 1974 National Theatre Program; Bunka dejitaru raiburarii,Ehon-10,134,"[11959, 11960, 11961, 11962, 11963, 11964, 11965, 11966, 11967, 11971, 11973, 11982, 11983, 11984, 11985, 11986, 11991, 11992, 11994, 12002, 12003, 12006, 12007, 12008, 12025, 12026, 12027, 12030, 12031, 12032, 12033, 12042, 12043, 12044, 12045, 12046, 12048, 12053, 46058, 46060, 46062, 46064, 49309, 49311, 49312, 49313, 49314, 49317, 49318, 49319, 51584, 51585, 51587, 51588, 51600, 51601, 51602, 51604, 51605, 51606, 51607, 51612, 51632, 52342, 59655, 59659, 59660, 59661, 59662, 59663, 59664, 59665, 59669, 59670, 59671, 59673, 59674, 59675, 59676, 59677, 59678, 59679, 59680, 59681, 59682, 59683, 59684, 59686, 59687, 59688, 59689, 59690, 59691, 59693, 59694, 59695, 59696, 59697, 59698, 59699, ...]",Jujiro,Takechi Jūjirō,武智十次郎,[16],たけちじゅうじろう
131,April 1974 National Theatre Program; Bunka dejitaru raiburarii,Ehon-11,135,[nan],Samboshi,Sambōshimaru,三法師丸,[16],さんぼうしまる
132,April 1974 National Theatre Program; Bunka dejitaru raiburarii,Ehon-12,136,[nan],Lady Ano,Anōno Tsubone,阿野の局,[16],あわのつぼね
133,April 1974 National Theatre Program,Ehon-13,137,[nan],Shinobu,Koshimoto Shinobu,腰元しのぶ,[16],しのぶ
134,April 1974 National Theatre Program,Ehon-14,138,[nan],Rikimaru,Morino Rikimaru,森の力丸,[16],もりのりきまる
135,April 1974 National Theatre Program; Bunka dejitaru raiburarii,Ehon-15,139,[nan],Sogi,Sōgibo,宗祇坊,[16],そうぎぼう
136,April 1974 National Theatre Program; Bunka dejitaru raiburarii,Ehon-16,140,[nan],"Kanroku, a soldier",Chinpun Kanroku,珍分勘六,[16],ちんぷんかんろく
